0.042778	0	0.050655	0	0.057234	0	0.067218	0	0.07504	0	0.081526	0	0.084928	0	0.089096	0	0.089909	0	0.091714	0	0.094286	0	0.09468	0	0.094884	0	0.096155	0	0.09627	0	0.09452	0	0.094	0	0.091798	0	0.091727	0	0.087059	0	0.085553	0	0.080825	0	0.075883	0	0.065215	0	0.057652	0	0.050696	0	0.04397
0	0.05438	0	0.061346	0	0.072341	0	0.083352	0	0.092763	0	0.098572	0	0.10389	0	0.10674	0	0.10983	0	0.11094	0	0.11304	0	0.11358	0	0.11306	0.113255	0.11345	0	0.11195	0	0.11204	0	0.11071	0	0.10892	0	0.10633	0	0.10327	0	0.098238	0	0.092549	0	0.08275	0	0.071871	0	0.06113	0	0.052737	0
0.054899	0	0.065504	0	0.07836	0	0.09207	0	0.10708	0	0.11536	0	0.12187	0	0.12569	0	0.1308	0	0.13314	0	0.13505	0	0.13549	0	0.13654	0	0.13709	0	0.13544	0	0.13543	0	0.13373	0	0.13205	0	0.12942	0	0.12555	0	0.12147	0	0.11473	0	0.1059	0	0.092731	0	0.07755	0	0.065468	0	0.054576
0	0.068567	0	0.082459	0	0.098925	0	0.12243	0	0.13772	0	0.14846	0	0.15511	0	0.15993	0	0.16352	0	0.16519	0	0.16736	0	0.16808	0	0.16742	0.167495	0.16757	0	0.16634	0	0.16523	0	0.16374	0	0.16179	0	0.15847	0	0.15302	0	0.14679	0	0.13596	0	0.12189	0	0.099728	0	0.081096	0	0.065911	0
0.068091	0	0.084694	0	0.10562	0	0.14062	0	0.17393	0	0.19253	0	0.20162	0	0.20865	0	0.21405	0	0.21794	0	0.21892	0	0.22077	0	0.22138	0	0.22058	0	0.22062	0	0.21934	0	0.21723	0	0.21454	0	0.21252	0	0.20803	0	0.20028	0	0.19093	0	0.17342	0	0.13854	0	0.1045	0	0.082769	0	0.066224
0	0.084931	0	0.10628	0	0.15492	0	0.27108	0	0.32198	0	0.339	0	0.34895	0	0.35519	0	0.35845	0	0.3612	0	0.36305	0	0.363	0	0.3629	0.362565	0.36223	0	0.36055	0	0.36045	0	0.35733	0	0.35154	0	0.3491	0	0.34278	0	0.33052	0	0.31626	0	0.26697	0	0.1492	0	0.099655	0	0.080252	0
0.083476	0	0.10572	0	0.1456	0	0.5644	0	1.1054	0	1.1398	0	1.1521	0	1.1589	0	1.1626	0	1.1658	0	1.1633	0	1.1622	0	1.1604	0	1.1606	0	1.1588	0	1.1571	0	1.1534	0	1.1498	0	1.1496	0	1.1447	0	1.138	0	1.1241	0	1.0875	0	0.57034	0	0.14579	0	0.10639	0	0.085636
0	0.103	0	0.13395	0	0.26862	0	1.7029	0	1.8972	0	1.9167	0	1.9289	0	1.9363	0	1.9401	0	1.9421	0	1.9397	0	1.9387	0	1.9373	1.9359	1.9345	0	1.9329	0	1.931	0	1.9255	0	1.9245	0	1.9211	0	1.9126	0	1.9004	0	1.874	0	1.6988	0	0.27596	0	0.12964	0	0.1017	0
0.094809	0	0.12307	0	0.18174	0	0.95277	0	1.9821	0	2.0358	0	2.0511	0	2.0631	0	2.0689	0	2.0737	0	2.0722	0	2.0714	0	2.0699	0	2.0676	0	2.0665	0	2.0618	0	2.0597	0	2.0559	0	2.052	0	2.0452	0	2.0343	0	2.0154	0	1.9599	0	0.97169	0	0.17955	0	0.12177	0	0.091087
0	0.11469	0	0.15205	0	0.31592	0	1.8283	0	2.0579	0	2.0852	0	2.1029	0	2.1092	0	2.1153	0	2.1171	0	2.1144	0	2.1144	0	2.1121	2.11195	2.1118	0	2.1066	0	2.1033	0	2.0986	0	2.0978	0	2.0932	0	2.0833	0	2.0679	0	2.0381	0	1.8293	0	0.32128	0	0.14742	0	0.10996	0
0.10424	0	0.13643	0	0.20397	0	0.99197	0	2.0321	0	2.0964	0	2.1161	0	2.1278	0	2.1352	0	2.1379	0	2.1398	0	2.1354	0	2.133	0	2.1371	0	2.1328	0	2.1268	0	2.1245	0	2.1206	0	2.1168	0	2.1115	0	2.0966	0	2.0755	0	2.0148	0	1.0079	0	0.19882	0	0.13203	0	0.10085
0	0.12151	0	0.16489	0	0.33422	0	1.8492	0	2.0876	0	2.1191	0	2.1333	0	2.1446	0	2.1499	0	2.1501	0	2.1493	0	2.1477	0	2.1475	2.1466	2.1457	0	2.1413	0	2.1368	0	2.1343	0	2.1291	0	2.1283	0	2.1182	0	2.101	0	2.0678	0	1.8554	0	0.33958	0	0.16118	0	0.11858	0
0.11037	0	0.14402	0	0.21398	0	1.0041	0	2.0462	0	2.1161	0	2.134	0	2.1484	0	2.1584	0	2.1571	0	2.1578	0	2.1573	0	2.1537	0	2.1528	0	2.1523	0	2.1467	0	2.1435	0	2.1432	0	2.1359	0	2.1306	0	2.1194	0	2.0961	0	2.0302	0	1.0235	0	0.21121	0	0.14105	0	0.10619
0	0.1287	0	0.17105	0	0.34262	0	1.8578	0	2.0955	0	2.1304	0	2.1483	0	2.1541	0	2.1609	0	2.1631	0	2.1593	0	2.1605	0	2.1568	2.1565	2.1562	0	2.1533	0	2.1506	0	2.1463	0	2.1453	0	2.1396	0	2.1293	0	2.1154	0	2.0832	0	1.8666	0	0.34968	0	0.16851	0	0.12242	0
0.11467	0	0.15044	0	0.21966	0	1.0107	0	2.0539	0	2.1232	0	2.1431	0	2.1578	0	2.165	0	2.167	0	2.1656	0	2.1621	0	2.1606	0	2.1592	0	2.1572	0	2.1544	0	2.1526	0	2.1518	0	2.1467	0	2.1411	0	2.1282	0	2.1095	0	2.0427	0	1.0316	0	0.21813	0	0.14513	0	0.11226
0	0.13312	0	0.17809	0	0.35015	0	1.864	0	2.1032	0	2.1374	0	2.1526	0	2.1624	0	2.162	0	2.1656	0	2.1652	0	2.1604	0	2.1582	2.1574	2.1566	0	2.1534	0	2.1534	0	2.1528	0	2.1491	0	2.147	0	2.1377	0	2.1225	0	2.0872	0	1.8716	0	0.35592	0	0.17394	0	0.12863	0
0.11793	0	0.15382	0	0.22442	0	1.014	0	2.0549	0	2.128	0	2.1473	0	2.1605	0	2.1671	0	2.1669	0	2.1642	0	2.1618	0	2.1575	0	2.155	0	2.1547	0	2.1537	0	2.1522	0	2.1531	0	2.1525	0	2.1468	0	2.1393	0	2.1126	0	2.0465	0	1.0371	0	0.22083	0	0.15175	0	0.11712
0	0.13506	0	0.18173	0	0.35295	0	1.8646	0	2.105	0	2.1394	0	2.1543	0	2.1645	0	2.165	0	2.1639	0	2.16	0	2.1546	0	2.1549	2.15235	2.1498	0	2.15	0	2.1507	0	2.1515	0	2.1512	0	2.1491	0	2.1408	0	2.1243	0	2.0927	0	1.8758	0	0.36186	0	0.17723	0	0.13422	0
